work_domain,event_candidate_count,example_event_names
급식보건안전,195,2026년 3월 학교급식물품(쌀) 구매 계약 | 2026년 3월 학교급식물품(수산물) 구매 계약 | 2026년 3월 학교급식물품(공산품공동구매) 구매 계약 | 2026년 3월 학교급식물품(농산물) 구매 계약 | 2026년 3월 학교급식물품(축산물) 구매 계약
평가교육과정,141,2026학년도 학교자율시간 운영계획 | 2026학년도 학급 1차편성 기초자료 제출 | 2025학년도 정보통신윤리교육 자체평가 실시 | 2025 영어교육과정 운영 계획 | 2026학교장허가교외체험학습(교환학습) 안내장
미분류,124,2025년 온열질환 민감군 관리계획 수립 | 2025 학년군스포츠데이 협조 의뢰 | 2025학년도 제1회 학부모회 대의원회 개최 안내 | 2025학년도 개인 학생 선수 등록증 및 연간계획서 | 신규 정기예금 계좌개설 요청
개인정보민원보고,116,2025 지역특색교육 사업실적 보고서 제출 | 2025.9.1.자 교사 결충원 현황보고 | 학교규칙 제출 | 2025학년도 학교정보공시 추진계획 | 2025년 비교과교사 성과상여금 지급 관련 기초자료 및 의견 제출
방과후늘봄,69,2026학년도 늘봄(방과후)학교(수익자) 프로그램 운영 용역(업체위탁) 공고 요청 의뢰 | 2025학년도 늘봄지원인력(자원봉사자) 위촉 공고(2차) | 2025학년도 선택형 프로그램 (구. 방과후) 1~4분기 정산 안내 | 방과후‧돌봄(늘봄)학교 개인위탁 외부강사 공모(창의미술) | 방과후‧돌봄(늘봄)학교 개인위탁 외부강사 공모
학교운영위원회,43,2025학년도 운영위원회 구성 계획 | 제7회 학교운영위원회 개최 | 2025학년도 제6회 운영위원회(임시회)결과 보고 | 2025학년도 제5회 운영위원회(임시회)결과 보고 | 제6회 학교운영위원회 개최
행정재정,16,석면해체제거 공사 집행 요청 | 인사발령에 따른 학교회계 통장 출납원 인감 변경 신청(A은행) | 인사발령에 따른 학교회계 통장 출납원 인감 변경 신청(B은행) | 2025학년도 4차 추가경정예산서 공개 | 2025학년도 3차 추가경정예산서 공개
학교폭력생활지도,6,2025 학교폭력대책심의위원회 개최 안내 | 2025 공동학교폭력대책심의위원회 조치 결정 및 조치 이행 안내 | 2025 공동학교폭력대책심의위원회 개최 안내 | 2025 외부기관 학교로 찾아가는 학교폭력 예방교육 신청 | 2025 학부모용 학교폭력 예방교육 소식지 1호
특수복지,3,특수교육대상자 개별화교육계획의 송부 | 특수교육대상자 개별화교육계획의 송부 | 특수교육대상자 개별화교육계획의 송부
학교구조변수,1,학교현황
